date,x
23 Apr 2020,-0.107020632
24 Apr 2020,-0.603902802
25 Apr 2020,2.043526549
26 Apr 2020,3.078618045
27 Apr 2020,3.494094902
28 Apr 2020,1.551402634
29 Apr 2020,1.070753363
30 Apr 2020,0.514570387
1 May 2020,-0.337420396
2 May 2020,0.811255784
3 May 2020,2.016158691
4 May 2020,1.071070383
5 May 2020,0.951168655
6 May 2020,1.972594026
7 May 2020,2.014035901
8 May 2020,2.498429232
9 May 2020,1.513017838
10 May 2020,1.098480259
11 May 2020,-0.601629578
12 May 2020,-1.85364746
13 May 2020,-3.100816253
14 May 2020,-2.337251165
15 May 2020,0.967264803
16 May 2020,2.299398441
17 May 2020,2.288197682
18 May 2020,-0.297001215
19 May 2020,-1.012159259
20 May 2020,-0.496240182
21 May 2020,0.672519841
22 May 2020,0.489820264
23 May 2020,-1.581752313
24 May 2020,-0.107325612
25 May 2020,1.030940108
26 May 2020,3.329692964
27 May 2020,4.115584704
28 May 2020,2.675514821
29 May 2020,0.599776192
30 May 2020,-1.1198434
31 May 2020,-0.410462707
1 Jun 2020,-1.871226405
2 Jun 2020,-3.19800307
3 Jun 2020,-4.758153941
4 Jun 2020,-2.420761552
5 Jun 2020,0.42828087
6 Jun 2020,2.210083118
7 Jun 2020,2.999195041
8 Jun 2020,2.98174859
9 Jun 2020,2.544959776
10 Jun 2020,2.632611024
11 Jun 2020,1.251876451
12 Jun 2020,-0.809081196
13 Jun 2020,-0.968550303
14 Jun 2020,-0.640010643
15 Jun 2020,1.124652336
16 Jun 2020,2.454881219
17 Jun 2020,2.318889455
18 Jun 2020,0.971861895
19 Jun 2020,1.118774031
20 Jun 2020,1.616508544
21 Jun 2020,1.451357546
22 Jun 2020,-0.430815648
23 Jun 2020,-1.563341847
24 Jun 2020,-1.139198318
25 Jun 2020,-0.029771041
26 Jun 2020,-1.036189453
27 Jun 2020,-1.451735048
28 Jun 2020,-2.281611367
29 Jun 2020,-2.570303474
30 Jun 2020,-3.801506324
1 Jul 2020,-1.946948489
2 Jul 2020,-0.086773939
3 Jul 2020,-0.895432249
4 Jul 2020,-2.699001765
5 Jul 2020,-1.677113333
6 Jul 2020,-1.591281616
7 Jul 2020,-2.915923272
8 Jul 2020,-4.477072227
9 Jul 2020,-4.87967537
10 Jul 2020,-3.317997014
11 Jul 2020,-2.44984187
12 Jul 2020,-0.000423625
13 Jul 2020,1.363475292
14 Jul 2020,1.11033598
15 Jul 2020,0.410510108
16 Jul 2020,-0.295926506
17 Jul 2020,-0.311543478
18 Jul 2020,-0.895806041
19 Jul 2020,-1.595863755
20 Jul 2020,-3.551652621
21 Jul 2020,-3.331870583
22 Jul 2020,-1.853915963
23 Jul 2020,-0.008809771
24 Jul 2020,1.071007135
25 Jul 2020,3.710794456
26 Jul 2020,4.483260531
27 Jul 2020,1.94796974
28 Jul 2020,-0.685486591
29 Jul 2020,-0.739005886
30 Jul 2020,0.453527468
31 Jul 2020,0.960757954
1 Aug 2020,0.733816589
2 Aug 2020,0.562847551
3 Aug 2020,-1.112090692
4 Aug 2020,-1.721871543
5 Aug 2020,-0.792411444
6 Aug 2020,-0.997872137
7 Aug 2020,-0.137370859
8 Aug 2020,0.485807941
9 Aug 2020,0.115595281
10 Aug 2020,-0.1178987
11 Aug 2020,-0.007719639
12 Aug 2020,0.897821793
13 Aug 2020,2.784667034
14 Aug 2020,3.526452123
15 Aug 2020,3.400095313
16 Aug 2020,0.894629506
17 Aug 2020,-2.308267799
18 Aug 2020,-3.842852467
19 Aug 2020,-2.260706547
20 Aug 2020,-0.120056157
21 Aug 2020,1.828967817
22 Aug 2020,3.522199934
23 Aug 2020,4.680023609
24 Aug 2020,5.098181025
25 Aug 2020,3.03505855
26 Aug 2020,1.025583116
27 Aug 2020,0.951684626
28 Aug 2020,1.828525473
29 Aug 2020,1.271656976
30 Aug 2020,0.063726189
31 Aug 2020,0.86916501
1 Sep 2020,1.065266696
2 Sep 2020,2.223898335
3 Sep 2020,3.330182837
4 Sep 2020,1.883913154
5 Sep 2020,-0.324388453
6 Sep 2020,0.767658454
7 Sep 2020,2.651265841
8 Sep 2020,3.596938161
9 Sep 2020,3.156093332
10 Sep 2020,-0.262849768
11 Sep 2020,-2.938761667
12 Sep 2020,-2.695329032
13 Sep 2020,-0.275955649
14 Sep 2020,2.494456097
15 Sep 2020,3.349335349
16 Sep 2020,2.694346999
17 Sep 2020,0.783210465
18 Sep 2020,-0.370784572
19 Sep 2020,-0.819095964
20 Sep 2020,0.044759164
21 Sep 2020,1.022107373
22 Sep 2020,2.311524336
23 Sep 2020,3.414121804
24 Sep 2020,2.698309014
25 Sep 2020,-0.08976098
26 Sep 2020,-2.298241372
27 Sep 2020,-2.565190513
28 Sep 2020,-1.111209473
29 Sep 2020,1.880395198
30 Sep 2020,4.269834011
1 Oct 2020,6.171073409
2 Oct 2020,4.132344074
3 Oct 2020,1.065176492
4 Oct 2020,-1.178754932
5 Oct 2020,-0.674332762
6 Oct 2020,0.288083982
7 Oct 2020,0.67517074
8 Oct 2020,-0.153412899
9 Oct 2020,-1.231112756
10 Oct 2020,-0.121489051
11 Oct 2020,1.060035059
12 Oct 2020,0.696413226
13 Oct 2020,-1.300075563
14 Oct 2020,-2.245708197
15 Oct 2020,-2.495153199
16 Oct 2020,-0.813033511
17 Oct 2020,-1.067169931
18 Oct 2020,0.122643798
19 Oct 2020,1.784599895
20 Oct 2020,1.426257164
21 Oct 2020,0.276516445
22 Oct 2020,-2.469912338
23 Oct 2020,-3.46170943
24 Oct 2020,-4.116616241
25 Oct 2020,-5.759090168
26 Oct 2020,-5.127098477
27 Oct 2020,-2.572838006
28 Oct 2020,0.436457739
29 Oct 2020,1.240900624
30 Oct 2020,1.756776524
31 Oct 2020,2.05855823
1 Nov 2020,-0.077637611
2 Nov 2020,-1.935132388
3 Nov 2020,-2.160455091
4 Nov 2020,-2.89652031
5 Nov 2020,-2.046773847
6 Nov 2020,-1.426397717
7 Nov 2020,0.307981909
8 Nov 2020,-1.007092316
9 Nov 2020,-1.895449842
10 Nov 2020,-3.018838516
11 Nov 2020,-0.890913627
12 Nov 2020,0.464152826
13 Nov 2020,1.623047523
14 Nov 2020,0.69020788
15 Nov 2020,-0.274963616
16 Nov 2020,-1.123039842
17 Nov 2020,-3.140040922
18 Nov 2020,-4.185995027
19 Nov 2020,-2.89364212
20 Nov 2020,-1.915755497
21 Nov 2020,-0.385826926
22 Nov 2020,0.678229286
23 Nov 2020,0.608045182
24 Nov 2020,-1.196522669
25 Nov 2020,-3.108408
26 Nov 2020,-4.055852897
27 Nov 2020,-3.313008925
28 Nov 2020,-3.327994057
29 Nov 2020,-2.233218829
30 Nov 2020,-0.579858087
1 Dec 2020,0.453272318
2 Dec 2020,-0.989152685
3 Dec 2020,-2.837099509
4 Dec 2020,-1.636567524
5 Dec 2020,0.417872884
6 Dec 2020,1.384792265
7 Dec 2020,0.540239503
8 Dec 2020,-1.197780545
9 Dec 2020,-1.364383167
10 Dec 2020,-2.460395406
11 Dec 2020,-0.355858009
12 Dec 2020,2.315704912
13 Dec 2020,1.768453141
14 Dec 2020,-1.262343036
15 Dec 2020,-4.04934041
16 Dec 2020,-3.137447415
17 Dec 2020,-0.942113533
18 Dec 2020,-1.550727147
19 Dec 2020,-3.111052155
20 Dec 2020,-3.896546997
21 Dec 2020,-2.797899314
22 Dec 2020,-1.929556538
23 Dec 2020,-1.10998651
24 Dec 2020,-1.496009709
25 Dec 2020,0.319158213
26 Dec 2020,0.01013772
27 Dec 2020,1.074787811
28 Dec 2020,1.187612301
29 Dec 2020,1.672937866
30 Dec 2020,0.615749063
31 Dec 2020,0.768663855
1 Jan 2021,-1.689447615
2 Jan 2021,-2.13434082
3 Jan 2021,-2.341009215
4 Jan 2021,0.592416931
5 Jan 2021,2.385729908
6 Jan 2021,1.507127941
7 Jan 2021,1.425047977
8 Jan 2021,0.860693451
9 Jan 2021,0.007945167
10 Jan 2021,0.393945902
11 Jan 2021,0.543825801
12 Jan 2021,-0.752374128
13 Jan 2021,-0.241352103
14 Jan 2021,0.203841071
15 Jan 2021,1.507649117
16 Jan 2021,2.716053935
17 Jan 2021,3.249001695
18 Jan 2021,3.853430072
19 Jan 2021,5.444423993
20 Jan 2021,3.341339898
21 Jan 2021,0.983706243
22 Jan 2021,-0.497196077
23 Jan 2021,-0.645240153
24 Jan 2021,0.6372945
25 Jan 2021,0.347961593
26 Jan 2021,-0.034350704
27 Jan 2021,-0.101154301
28 Jan 2021,-0.340743356
29 Jan 2021,1.84394717
30 Jan 2021,2.999400165
31 Jan 2021,2.778920244
1 Feb 2021,2.305789123
2 Feb 2021,1.793429642
